name,QA,id,image_url,description,enabled,personalized,sql_request
Stocks to buy this week,1,166,https://gainy-collections-production.s3.amazonaws.com/stocks%20to%20buy%20this%20week.png,,0,0,
Stocks to watch next week,1,167,https://gainy-collections-production.s3.amazonaws.com/stocks%20to%20watch%20next%20week.png,,0,0,
Stocks to watch this week,1,168,https://gainy-collections-production.s3.amazonaws.com/stocks%20to%20watch%20this%20week.png,,0,0,
Technology stocks,1,169,https://gainy-collections-production.s3.amazonaws.com/technology%20stocks.png,Tech companies,1,0,"where (ct.ttype ilike 'common stock' AND ct.gics_sector ilike '%technolog%') AND (ct.g_industry ilike any(array['Consulting Services', 'Industrial Conglomerates']))"
Telecom stocks,1,170,https://gainy-collections-production.s3.amazonaws.com/telecom%20stocks.png,Telecom companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Telecom Infrastructure', 'Internet and Cellular Provider']))"
Toilet paper companies stocks,1,171,https://gainy-collections-production.s3.amazonaws.com/toilet%20paper%20companies%20stocks.png,Most important companies,1,0,"where (ct.ttype ilike 'common stock' AND ct.ticker_code IN ('WMT', 'PG', 'KMB', 'ITP', 'CLW', 'COST', 'KR'))"
Transportation stocks,1,172,https://gainy-collections-production.s3.amazonaws.com/transportation%20stocks.png,Companies providing transportation by all means of transport,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Aircraft Leasing', 'Rail Freight', 'Air Cargo Transport', 'Maritime Transportation']))"
Travel stocks,1,173,https://gainy-collections-production.s3.amazonaws.com/travel%20stocks.png,Travel companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Airlines', 'Casino and Resorts', 'Hotels', 'Online Travel Company', 'Vehicle Rental']))"
Triple leveraged ETFs,1,174,https://gainy-collections-production.s3.amazonaws.com/triple%20leveraged%20ETFs.png,,0,0,
Trucking,1,175,https://gainy-collections-production.s3.amazonaws.com/trucking%20stocks.png,Trucking companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Auto Parts & Services', 'Trucking']))"
