date,ttf_name,symbol,weight
2016-09-01,"Movies, Music and Entertainment",CNK,0.095961146
2016-10-01,"Movies, Music and Entertainment",CNK,0.09732481
2016-11-01,"Movies, Music and Entertainment",CNK,0.097654025
2016-12-01,"Movies, Music and Entertainment",CNK,0.102361352
2017-01-01,"Movies, Music and Entertainment",CNK,0.100224458
2017-02-01,"Movies, Music and Entertainment",CNK,0.091091788
2017-03-01,"Movies, Music and Entertainment",CNK,0.088261403
2017-04-01,"Movies, Music and Entertainment",CNK,0.083185369
2017-05-01,"Movies, Music and Entertainment",CNK,0.080862898
2017-06-01,"Movies, Music and Entertainment",CNK,0.074182012
2017-07-01,"Movies, Music and Entertainment",CNK,0.089486653
2017-08-01,"Movies, Music and Entertainment",CNK,0.083806962
2017-09-01,"Movies, Music and Entertainment",CNK,0.079147329
2017-10-01,"Movies, Music and Entertainment",CNK,0.074425394
2017-11-01,"Movies, Music and Entertainment",CNK,0.076559791
2017-12-01,"Movies, Music and Entertainment",CNK,0.074257652
2018-01-01,"Movies, Music and Entertainment",CNK,0.072470064
2018-02-01,"Movies, Music and Entertainment",CNK,0.072903618
2018-03-01,"Movies, Music and Entertainment",CNK,0.055410503
2018-04-01,"Movies, Music and Entertainment",CNK,0.067643368
2018-05-01,"Movies, Music and Entertainment",CNK,0.069676852
2018-06-01,"Movies, Music and Entertainment",CNK,0.065575593
2018-07-01,"Movies, Music and Entertainment",CNK,0.049930665
2018-08-01,"Movies, Music and Entertainment",CNK,0.049387086
2018-09-01,"Movies, Music and Entertainment",CNK,0.049258267
2018-10-01,"Movies, Music and Entertainment",CNK,0.044053216
2018-11-01,"Movies, Music and Entertainment",CNK,0.073742754
2018-12-01,"Movies, Music and Entertainment",CNK,0.098010785
2019-01-01,"Movies, Music and Entertainment",CNK,0.098063022
2019-02-01,"Movies, Music and Entertainment",CNK,0.100041529
2019-03-01,"Movies, Music and Entertainment",CNK,0.097013401
2019-04-01,"Movies, Music and Entertainment",CNK,0.095352759
2019-05-01,"Movies, Music and Entertainment",CNK,0.097323772
2019-06-01,"Movies, Music and Entertainment",CNK,0.094610575
2019-07-01,"Movies, Music and Entertainment",CNK,0.093047357
2019-08-01,"Movies, Music and Entertainment",CNK,0.076018084
2019-09-01,"Movies, Music and Entertainment",CNK,0.072777749
2019-10-01,"Movies, Music and Entertainment",CNK,0.077671747
2019-11-01,"Movies, Music and Entertainment",CNK,0.076496565
2019-12-01,"Movies, Music and Entertainment",CNK,0.08085341
2020-01-01,"Movies, Music and Entertainment",CNK,0.079489853
2020-02-01,"Movies, Music and Entertainment",CNK,0.080229004
2020-03-01,"Movies, Music and Entertainment",CNK,0.071016894
2020-04-01,"Movies, Music and Entertainment",CNK,0.030937773
2020-05-01,"Movies, Music and Entertainment",CNK,0.030473459
2020-06-01,"Movies, Music and Entertainment",CNK,0.029678018
2020-07-01,"Movies, Music and Entertainment",CNK,0.029184404
2020-08-01,"Movies, Music and Entertainment",CNK,0.028506665
2020-09-01,"Movies, Music and Entertainment",CNK,0.028044283
2020-10-01,"Movies, Music and Entertainment",CNK,0.028193637
2020-11-01,"Movies, Music and Entertainment",CNK,0.028295601
2020-12-01,"Movies, Music and Entertainment",CNK,0.026305434
2021-01-01,"Movies, Music and Entertainment",CNK,0.029010662
2021-02-01,"Movies, Music and Entertainment",CNK,0.029847419
2021-03-01,"Movies, Music and Entertainment",CNK,0.033305843
2021-04-01,"Movies, Music and Entertainment",CNK,0.036463355
2021-05-01,"Movies, Music and Entertainment",CNK,0.038659401
2021-06-01,"Movies, Music and Entertainment",CNK,0.039556033
2021-07-01,"Movies, Music and Entertainment",CNK,0.033897154
2021-08-01,"Movies, Music and Entertainment",CNK,0.028529416
2021-09-01,"Movies, Music and Entertainment",CNK,0.038395576
2021-10-01,"Movies, Music and Entertainment",CNK,0.044951363
2021-11-01,"Movies, Music and Entertainment",CNK,0.044749965
2021-12-01,"Movies, Music and Entertainment",CNK,0.040744402
2022-01-01,"Movies, Music and Entertainment",CNK,0.039660666
2022-02-01,"Movies, Music and Entertainment",CNK,0.033737642
2022-03-01,"Movies, Music and Entertainment",CNK,0.037325566
2022-04-01,"Movies, Music and Entertainment",CNK,0.033741289
2022-05-01,"Movies, Music and Entertainment",CNK,0.043170392
2022-06-01,"Movies, Music and Entertainment",CNK,0.042843748
2022-07-01,"Movies, Music and Entertainment",CNK,0.044285959
2022-08-01,"Movies, Music and Entertainment",CNK,0.043846321
2022-09-01,"Movies, Music and Entertainment",CNK,0.044370807
2022-10-01,"Movies, Music and Entertainment",CNK,0.044969263
2015-02-01,"Movies, Music and Entertainment",AMC,0.113790368
2015-03-01,"Movies, Music and Entertainment",AMC,0.116278199
2015-04-01,"Movies, Music and Entertainment",AMC,0.115253538
2015-05-01,"Movies, Music and Entertainment",AMC,0.116883094
2015-06-01,"Movies, Music and Entertainment",AMC,0.114267521
2015-07-01,"Movies, Music and Entertainment",AMC,0.109408617
2015-08-01,"Movies, Music and Entertainment",AMC,0.111734535
2015-09-01,"Movies, Music and Entertainment",AMC,0.106444135
2015-10-01,"Movies, Music and Entertainment",AMC,0.097703529
2015-11-01,"Movies, Music and Entertainment",AMC,0.096269473
2015-12-01,"Movies, Music and Entertainment",AMC,0.094142478
2016-01-01,"Movies, Music and Entertainment",AMC,0.08773475
2016-02-01,"Movies, Music and Entertainment",AMC,0.088046395
2016-03-01,"Movies, Music and Entertainment",AMC,0.088062407
2016-04-01,"Movies, Music and Entertainment",AMC,0.086575196
2016-05-01,"Movies, Music and Entertainment",AMC,0.086743833
2016-06-01,"Movies, Music and Entertainment",AMC,0.085457207
2016-07-01,"Movies, Music and Entertainment",AMC,0.076346603
2016-08-01,"Movies, Music and Entertainment",AMC,0.075122273
2016-09-01,"Movies, Music and Entertainment",AMC,0.074823626
