id,name,Sub 1,Sub 2,Sub 3,Sub 4,Sub 5,Sub 6,Sub 7,Sub 8,Sub 9,Sub 10,Sub 11,Sub 12,Sub 13,Sub 14,Sub 15,TTF 1,TTF 2,TTF 3,TTF 4,TTF 5,TTF 6,TTF 7,TTF 8,TTF 9,TTF 10,enabled,icon_url,order
49,Heavy and Industrial Machinery,Agricultural & Farm Machinery,Industrial Machinery,Industrial Conglomerates,Industrial Machinery,,,,,,,,,,,,Heavy Equipment and Machinery,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Machinery%403x.png,1
57,Virtual Reality and AR,Interactive Media & Services,,,,,,,,,,,,,,,Virtual Reality and AR,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Virtual%20reality%20and%20AR%403x.png,1
58,3D printing,,,,,,,,,,,,,,,,3D printing,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/3D%20printing%403x.png,1
59,Current thing,,,,,,,,,,,,,,,,Ukrainian-Led Companies,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Current%20thing%403x.png,1
60,Shipbuilding and Marine,Marine,,,,,,,,,,,,,,,Shipbuilding,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Shipbuilding%20and%20Marine%403x.png,1
61,HR and Consulting Services,Human Resource & Employment Services,Research & Consulting Services,Diversified Support Services,IT Consulting & Other Services,,,,,,,,,,,,,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/HR%20and%20Consulting%403x.png,1
62,Science,Life Sciences Tools & Services,,,,,,,,,,,,,,,,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Science%403x.png,1
63,Crypto Applications,Crypto Art,Crypto Media Broadcast,Crypto Metaverse Gaming,Crypto Metaverse Peculiarities,Crypto Metaverse VR Real Estate,Crypto Peculiar Media,Crypto Social Media,,,,,,,,,,,,,,,,,,,0,https://gainy-interests-production.s3.amazonaws.com/Crypto%20Applications%403x.png,0
65,DeFi,DeFi AMM Exchanges,Crypto DeFi Asset Management,Crypto DeFi Atomic Swaps,Crypto DeFi CLOB Exchanges,DeFi Credit Platform,DeFi DAO,Crypto DeFi Insurance,Crypto DeFi Special Exchanges,DeFi Yield Farming,,,,,,,,,,,,,,,,,0,https://gainy-interests-production.s3.amazonaws.com/DeFi%403x.png,0
66,Smart Contracts,Crypto Oracle,Crypto Digitization,Crypto IoT,Multi-Chain Smart Contract Platform,Crypto Private Computing,Crypto Shared Network,Crypto Shared Storage,Single-Chain Smart Contract Platform,,,,,,,,,,,,,,,,,,0,https://gainy-interests-production.s3.amazonaws.com/Smart%20Contracts%403x.png,0
67,Stablecoins,DeFi Derivatives,Transparent CeFi Currency,,,,,,,,,,,,,,,,,,,,,,,,0,https://gainy-interests-production.s3.amazonaws.com/Stablecoins%403x.png,0
